20230501	15:51:51	8a4c36d4-f4a9-4924-9a7e-fd0daa8c231f	GET 	 undefined 	 /subdir/index.html
20230501	15:52:02	70c87b64-4c44-4726-a87a-cc23ae2a6927	GET 	 undefined 	 /subdir/
20230501	15:52:02	a7febf1c-ec60-464e-87d8-f23245c12c64	GET 	 undefined 	 /subdir/css/style.css
20230501	15:52:05	154633bc-5bca-4ba1-9237-05ef0aa9b03a	GET 	 undefined 	 /subdir
20230501	15:52:05	62791a15-0e85-425f-945a-13ab9ad01778	GET 	 undefined 	 /css/style.css
20230501	15:53:27	9da3be97-c30f-42e0-8d35-959917c768e2	GET 	 undefined 	 /subdir
20230501	15:53:27	4a02835b-747a-4481-bc7c-31402e9ac0b5	GET 	 undefined 	 /subdir/
20230501	15:53:27	c24fd4e7-b43c-467c-a222-e67f074fc887	GET 	 undefined 	 /subdir/css/style.css
20230501	15:53:31	5a92d4aa-b92b-451e-ab22-467aa9737cf1	GET 	 undefined 	 /subdir/dfdf
20230501	15:53:31	2263a2a7-68f4-4380-9c63-42d3841631b6	GET 	 undefined 	 /subdir/css/style.css
20230501	15:53:35	9228956e-3b42-46c0-b5bc-e25b54984c67	GET 	 undefined 	 /subdir/test
20230501	15:53:41	3601f6c2-d7dd-434f-83b2-4aa6e0222d97	GET 	 undefined 	 /subdir/index
20230501	15:56:17	e4248302-8a54-4df7-833f-7ce85f1b8b87	GET 	 undefined 	 /subdir/
20230501	15:56:17	fbe49bc2-cb5a-433a-8d93-7da5abf119fb	GET 	 undefined 	 /subdir/css/style.css
20230501	15:56:18	d96223da-41a6-40b3-9757-2695a329482a	GET 	 undefined 	 /subdir/
20230501	15:56:18	e4905377-904a-4da5-8b3d-c0df3e0afb3a	GET 	 undefined 	 /subdir/css/style.css
20230501	15:56:21	0f92d459-a1b9-4690-9336-1c46470e65fc	GET 	 undefined 	 /subdir/
20230501	15:56:22	7c26048c-c675-4cd3-aaac-ad1419ab56ac	GET 	 undefined 	 /subdir/css/style.css
20230501	15:56:25	b78367dc-7837-46e1-aaf8-a93dfd59576e	GET 	 undefined 	 /subdir/index
20230501	15:56:25	144ce811-2ddd-4170-bca6-804af1fd90d4	GET 	 undefined 	 /subdir/css/style.css
